metric,severity_control,responder_count,n_pairs,mean_greedy_minus_global,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,holm_adjusted_p_value,effect_size_dz,global_win_rate_pct,tie_rate_pct
median_response_s,0.14,32,100,7.044804490800594,1.0873407575690217,13.182469414240314,0.02299540091981604,0.06898620275944811,0.22633019602068166,39.0,46.0
median_response_s,0.15,8,100,197.90228937564734,144.82957539497323,255.66906797748555,0.0001999600079984003,0.01279744051189762,0.6972961401097005,77.0,6.0
median_response_s,0.15,10,100,109.81929540097062,70.18154433294052,151.166824746823,0.0001999600079984003,0.01279744051189762,0.5402942024714208,71.0,8.0
median_response_s,0.15,12,100,75.70462152859356,47.4370063797925,103.88660166393873,0.0001999600079984003,0.01279744051189762,0.528946374569174,65.0,16.0
median_response_s,0.15,14,100,37.85168684807369,14.09135022164572,62.23416120782226,0.0009998000399920016,0.016996600679864027,0.3079528846086705,54.0,17.0
median_response_s,0.15,16,100,33.297624494876814,12.146688718806688,54.75997211974863,0.0027994401119776045,0.027994401119776045,0.31066756344148755,51.0,21.0
median_response_s,0.15,20,100,26.35142925335201,12.130833547199302,40.0750909830579,0.0001999600079984003,0.01279744051189762,0.374246684525085,49.0,30.0
median_response_s,0.15,24,100,20.54940843058719,9.661607755287736,32.13445011258877,0.0007998400319936012,0.014397120575884822,0.35687704606502296,45.0,34.0
median_response_s,0.15,32,100,6.687172571966756,0.281410030416193,13.139126080725182,0.03759248150369926,0.07518496300739852,0.20907384765044157,36.0,48.0
median_response_s,0.16,8,100,209.90669015775308,154.5942701477127,269.1984370206819,0.0001999600079984003,0.01279744051189762,0.7070821608913425,77.0,12.0
median_response_s,0.16,10,100,114.90790507668423,78.466662023992,152.11242620549152,0.0001999600079984003,0.01279744051189762,0.6161487861307264,73.0,10.0
median_response_s,0.16,12,100,62.446908444334134,38.85056533751401,86.2856810119264,0.0001999600079984003,0.01279744051189762,0.5173202229241537,60.0,23.0
median_response_s,0.16,14,100,38.48258784453845,15.63754373533183,61.96011662068003,0.0015996800639872025,0.02559488102379524,0.3197683387049956,54.0,21.0
