severity_control,responder_count,realization,seed,algorithm,failed_directed_edges,incident_count,incidents,assigned,unreachable,reachability_pct,mean_response_s,median_response_s,p90_response_s,total_response_s,weighted_unmet_demand
0.12,20,1,6061,greedy,1346,10,10,10,0,100.0,237.12232619527575,232.23360138862938,397.7703240045584,2371.2232619527576,0
0.12,20,1,6061,global_min_cost,1346,10,10,10,0,100.0,236.06306339785593,232.23360138862938,416.02767610259474,2360.6306339785588,0
0.12,24,1,6061,greedy,1346,10,10,10,0,100.0,188.91229592112973,192.7384369360946,319.01529702854504,1889.1229592112975,0
0.12,24,1,6061,global_min_cost,1346,10,10,10,0,100.0,187.8530331237099,192.7384369360946,321.0438917061046,1878.530331237099,0
0.12,32,1,6061,greedy,1346,10,10,10,0,100.0,175.80780426667963,157.41925253249713,319.01529702854504,1758.0780426667964,0
0.12,32,1,6061,global_min_cost,1346,10,10,10,0,100.0,174.7485414692598,157.41925253249713,321.0438917061046,1747.485414692598,0
0.13,8,1,6061,greedy,1470,10,10,7,3,70.0,808.1340203619965,330.8799178796985,1644.5261774262656,5656.938142533976,12
0.13,8,1,6061,global_min_cost,1470,10,10,7,3,70.0,505.82126044777345,330.8799178796985,961.080692247148,3540.748823134414,11
0.13,10,1,6061,greedy,1470,10,10,9,1,90.0,914.8910029569643,874.3531378086312,2098.5333269730154,8234.01902661268,5
0.13,10,1,6061,global_min_cost,1470,10,10,9,1,90.0,718.0348483792864,557.6408548706645,1270.7321549396136,6462.313635413578,2
0.13,12,1,6061,greedy,1470,10,10,10,0,100.0,812.7337978159428,939.8478542106873,1485.8299782745992,8127.3379781594285,0
0.13,12,1,6061,global_min_cost,1470,10,10,10,0,100.0,735.98644895877,380.3126424741007,1349.7780020780901,7359.8644895877,0
0.13,14,1,6061,greedy,1470,10,10,10,0,100.0,732.8527165576292,579.0115022534457,1481.0547373595132,7328.527165576292,0
0.13,14,1,6061,global_min_cost,1470,10,10,10,0,100.0,651.0268397083855,304.0402741268475,1349.7780020780901,6510.268397083856,0
0.13,16,1,6061,greedy,1470,10,10,10,0,100.0,547.2581519188402,354.6138297450159,1202.7600294172316,5472.581519188403,0
0.13,16,1,6061,global_min_cost,1470,10,10,10,0,100.0,483.6976448855048,278.3414613977627,1195.1665380655177,4836.976448855048,0
0.13,20,1,6061,greedy,1470,10,10,10,0,100.0,440.75507331866504,249.4426582245876,1154.480338189705,4407.550733186651,0
0.13,20,1,6061,global_min_cost,1470,10,10,10,0,100.0,374.0945521624892,232.23360138862938,572.4718354931188,3740.9455216248916,0
0.13,24,1,6061,greedy,1470,10,10,10,0,100.0,191.21387974936616,192.7384369360946,321.31688085678144,1912.1387974936615,0
0.13,24,1,6061,global_min_cost,1470,10,10,10,0,100.0,190.1546169519463,192.7384369360946,323.345475534341,1901.5461695194633,0
0.13,32,1,6061,greedy,1470,10,10,10,0,100.0,178.10938809491603,157.41925253249713,321.31688085678144,1781.0938809491604,0
0.13,32,1,6061,global_min_cost,1470,10,10,10,0,100.0,177.0501252974962,157.41925253249713,323.345475534341,1770.5012529749622,0
0.14,8,1,6061,greedy,1578,10,10,7,3,70.0,821.6710589924336,330.8799178796985,1656.9825819027103,5751.697412947035,12
0.14,8,1,6061,global_min_cost,1578,10,10,7,3,70.0,505.82126044777345,330.8799178796985,961.080692247148,3540.748823134414,11
0.14,10,1,6061,greedy,1578,10,10,9,1,90.0,928.3836208843193,874.3531378086312,2126.100961957746,8355.452587958873,5
0.14,10,1,6061,global_min_cost,1578,10,10,9,1,90.0,727.6340718648189,557.6408548706645,1297.9723862159333,6548.70664678337,2
0.14,12,1,6061,greedy,1578,10,10,10,0,100.0,822.2097248572488,967.473854300029,1489.7807052980368,8222.097248572489,0
0.14,12,1,6061,global_min_cost,1578,10,10,10,0,100.0,744.6257500957493,404.18884704953007,1599.8942035568484,7446.257500957493,0
0.14,14,1,6061,greedy,1578,10,10,10,0,100.0,735.9668176767403,579.0115022534457,1484.1688384786244,7359.668176767403,0
0.14,14,1,6061,global_min_cost,1578,10,10,10,0,100.0,659.6661408453649,404.18884704953007,1352.8921031972013,6596.661408453649,0
0.14,16,1,6061,greedy,1578,10,10,10,0,100.0,547.5767501035716,354.6138297450159,1202.7600294172316,5475.767501035716,0
0.14,16,1,6061,global_min_cost,1578,10,10,10,0,100.0,489.222844903373,285.22007787630133,874.8538809621414,4892.22844903373,0
0.14,20,1,6061,greedy,1578,10,10,10,0,100.0,440.75507331866504,249.4426582245876,1154.480338189705,4407.550733186651,0
0.14,20,1,6061,global_min_cost,1578,10,10,10,0,100.0,374.0945521624892,232.23360138862938,572.4718354931188,3740.9455216248916,0
0.14,24,1,6061,greedy,1578,10,10,10,0,100.0,213.3428006885734,210.31723609203488,321.31688085678144,2133.4280068857342,0
0.14,24,1,6061,global_min_cost,1578,10,10,10,0,100.0,212.28353789115357,210.31723609203488,323.345475534341,2122.835378911536,0
0.14,32,1,6061,greedy,1578,10,10,10,0,100.0,197.16655845941477,207.5243523193597,321.31688085678144,1971.6655845941477,0
0.14,32,1,6061,global_min_cost,1578,10,10,10,0,100.0,196.10729566199495,207.5243523193597,323.345475534341,1961.0729566199495,0
0.15,8,1,6061,greedy,1678,10,10,7,3,70.0,829.1379913782449,330.8799178796985,1657.9581793586876,5803.965939647715,12
0.15,8,1,6061,global_min_cost,1678,10,10,7,3,70.0,514.3759772839243,378.14701310713417,961.080692247148,3600.6318409874702,11
0.15,10,1,6061,greedy,1678,10,10,9,1,90.0,935.789882536405,887.7682372321132,2136.833041496532,8422.108942827645,5
0.15,10,1,6061,global_min_cost,1678,10,10,9,1,90.0,734.2877405151585,557.6408548706645,1297.9723862159333,6608.589664636427,2
0.15,12,1,6061,greedy,1678,10,10,10,0,100.0,828.875360344126,974.1814040117699,1493.7633209002174,8288.753603441259,0
0.15,12,1,6061,global_min_cost,1678,10,10,10,0,100.0,750.6140518810549,435.81602360025454,1375.5453095721055,7506.140518810549,0
0.15,14,1,6061,greedy,1678,10,10,10,0,100.0,742.0523923365071,602.7318258405382,1484.1688384786244,7420.52392336507,0
0.15,14,1,6061,global_min_cost,1678,10,10,10,0,100.0,664.4102055627834,427.90917063662255,1352.8921031972013,6644.1020556278345,0
0.15,16,1,6061,greedy,1678,10,10,10,0,100.0,551.5593657057524,354.6138297450159,1202.7600294172316,5515.593657057524,0
0.15,16,1,6061,global_min_cost,1678,10,10,10,0,100.0,493.96690962079157,285.22007787630133,874.8538809621414,4939.669096207916,0
